Epoch: 1	 Train D Loss: 0.14815985262393952 	 Train G Loss: 0.009228890761733055	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 2	 Train D Loss: 0.021262113749980927 	 Train G Loss: 0.13748286664485931	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 3	 Train D Loss: -0.8999221324920654 	 Train G Loss: 1.0042113065719604	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 4	 Train D Loss: -2.303803014755249 	 Train G Loss: 2.4007275104522705	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 5	 Train D Loss: -3.9596113204956054 	 Train G Loss: 2.1723439693450928	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 6	 Train D Loss: -3.915993309020996 	 Train G Loss: 2.1128997802734375	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 7	 Train D Loss: -3.7114227294921873 	 Train G Loss: 1.728173851966858	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 8	 Train D Loss: -2.651743173599243 	 Train G Loss: 1.5317952632904053	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 9	 Train D Loss: -3.1985745429992676 	 Train G Loss: 1.276351809501648	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 10	 Train D Loss: -3.030846357345581 	 Train G Loss: 1.1572402715682983	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 11	 Train D Loss: -2.2928937911987304 	 Train G Loss: 0.9961948394775391	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 12	 Train D Loss: -2.772491693496704 	 Train G Loss: 0.7672513723373413	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 13	 Train D Loss: -2.549385118484497 	 Train G Loss: 0.9707889556884766	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 14	 Train D Loss: -2.5450768947601317 	 Train G Loss: 0.43332669138908386	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 15	 Train D Loss: -1.9229794502258302 	 Train G Loss: 0.36362960934638977	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 16	 Train D Loss: -2.3449442386627197 	 Train G Loss: -0.14877425134181976	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 17	 Train D Loss: -2.3461048126220705 	 Train G Loss: -0.3794828951358795	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 18	 Train D Loss: -1.7324488162994385 	 Train G Loss: -0.8033362627029419	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 19	 Train D Loss: -2.0850054264068603 	 Train G Loss: -1.6425690650939941	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 20	 Train D Loss: -2.0398065090179442 	 Train G Loss: -1.2901887893676758	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 21	 Train D Loss: -1.9704490423202514 	 Train G Loss: -1.4118564128875732	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 22	 Train D Loss: -1.4613930940628053 	 Train G Loss: -1.7214932441711426	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 23	 Train D Loss: -1.8192036390304565 	 Train G Loss: -1.2304503917694092	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 24	 Train D Loss: -1.671442413330078 	 Train G Loss: -1.913560152053833	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 25	 Train D Loss: -1.6185030698776246 	 Train G Loss: -1.4932883977890015	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 26	 Train D Loss: -1.2126977920532227 	 Train G Loss: -1.183905839920044	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 27	 Train D Loss: -1.3708745956420898 	 Train G Loss: -1.395323634147644	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 28	 Train D Loss: -1.4191338777542115 	 Train G Loss: -1.0909472703933716	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 29	 Train D Loss: -1.057571244239807 	 Train G Loss: -0.7901987433433533	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 30	 Train D Loss: -1.2842931032180787 	 Train G Loss: -1.1953258514404297	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 31	 Train D Loss: -1.133826494216919 	 Train G Loss: -0.9059620499610901	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 32	 Train D Loss: -1.138456439971924 	 Train G Loss: -0.8040080070495605	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 33	 Train D Loss: -0.8454811215400696 	 Train G Loss: -0.8923707008361816	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 34	 Train D Loss: -0.9888822555541992 	 Train G Loss: -1.050072431564331	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 35	 Train D Loss: -1.025371217727661 	 Train G Loss: -0.9151253700256348	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 36	 Train D Loss: -0.7906658887863159 	 Train G Loss: -1.015058994293213	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 37	 Train D Loss: -0.8975606679916381 	 Train G Loss: -0.8197735548019409	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 38	 Train D Loss: -0.8771290302276611 	 Train G Loss: -0.9192876815795898	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 39	 Train D Loss: -0.8748122692108155 	 Train G Loss: -1.1223660707473755	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 40	 Train D Loss: -0.7085328698158264 	 Train G Loss: -1.3055870532989502	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 41	 Train D Loss: -0.796931529045105 	 Train G Loss: -1.351488471031189	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 42	 Train D Loss: -0.7503555059432984 	 Train G Loss: -1.3780962228775024	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 43	 Train D Loss: -0.7202993869781494 	 Train G Loss: -0.9940707683563232	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 44	 Train D Loss: -0.5679802536964417 	 Train G Loss: -1.6817458868026733	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 45	 Train D Loss: -0.7262771010398865 	 Train G Loss: -1.5231636762619019	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 46	 Train D Loss: -0.6616739988327026 	 Train G Loss: -1.573030948638916	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 47	 Train D Loss: -0.5268834233283997 	 Train G Loss: -1.9122700691223145	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 48	 Train D Loss: -0.5999048233032227 	 Train G Loss: -1.863569974899292	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 49	 Train D Loss: -0.6332597255706787 	 Train G Loss: -1.7327566146850586	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 50	 Train D Loss: -0.5910969972610474 	 Train G Loss: -1.9075303077697754	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 51	 Train D Loss: -0.45458499193191526 	 Train G Loss: -1.9475326538085938	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 52	 Train D Loss: -0.5534376084804535 	 Train G Loss: -1.39085054397583	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 53	 Train D Loss: -0.5723010182380677 	 Train G Loss: -2.234204053878784	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 54	 Train D Loss: -0.40329340696334837 	 Train G Loss: -1.6024742126464844	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 55	 Train D Loss: -0.5232507228851319 	 Train G Loss: -1.421191930770874	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 56	 Train D Loss: -0.5107657730579376 	 Train G Loss: -1.510851502418518	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 57	 Train D Loss: -0.4863605201244354 	 Train G Loss: -1.7470041513442993	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 58	 Train D Loss: -0.3845582902431488 	 Train G Loss: -1.7431316375732422	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 59	 Train D Loss: -0.475666743516922 	 Train G Loss: -1.9303654432296753	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 60	 Train D Loss: -0.4815458178520203 	 Train G Loss: -1.9170767068862915	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 61	 Train D Loss: -0.47757800817489626 	 Train G Loss: -1.6773570775985718	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 62	 Train D Loss: -0.36545552015304567 	 Train G Loss: -1.8144457340240479	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 63	 Train D Loss: -0.4550925374031067 	 Train G Loss: -1.4360967874526978	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 64	 Train D Loss: -0.42405626773834226 	 Train G Loss: -1.7224453687667847	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 65	 Train D Loss: -0.3479710519313812 	 Train G Loss: -1.6181424856185913	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 66	 Train D Loss: -0.4407333433628082 	 Train G Loss: -1.3947575092315674	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 67	 Train D Loss: -0.39630521535873414 	 Train G Loss: -1.3864097595214844	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 68	 Train D Loss: -0.39636282324790956 	 Train G Loss: -0.47307708859443665	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 69	 Train D Loss: -0.30318108201026917 	 Train G Loss: -1.5827441215515137	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 70	 Train D Loss: -0.4130514919757843 	 Train G Loss: -1.65911066532135	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 71	 Train D Loss: -0.37354215383529665 	 Train G Loss: -1.064717411994934	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 72	 Train D Loss: -0.307408607006073 	 Train G Loss: -1.3512264490127563	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 73	 Train D Loss: -0.5093122720718384 	 Train G Loss: -1.751512885093689	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 74	 Train D Loss: -0.45305454134941103 	 Train G Loss: -0.5952954292297363	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 75	 Train D Loss: -0.5671390056610107 	 Train G Loss: -1.3764431476593018	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 76	 Train D Loss: -0.34304397106170653 	 Train G Loss: -0.5619853734970093	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 77	 Train D Loss: -0.5060306847095489 	 Train G Loss: -0.5498826503753662	 Val D Loss: 0 	 Val G Loss: 0
Epoch: 78	 Train D Loss: -0.4482416570186615 	 Train G Loss: -1.262539267539978	 Val D Loss: 0 	 Val G Loss: 0
